Age,Gender,Income,Education,Marital_Status,Employment_Years,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,Property_Type,Monthly_Debt,Approved_Flag
25,Male,80966,Not Graduate,Married,15,371683,60,588,3,Rent,1522,P4
55,Male,59267,Graduate,Married,21,107440,24,845,0,None,727,P2
50,Female,113661,Graduate,Single,29,497925,24,528,3,Own,2222,P4
40,Female,139327,Graduate,Married,1,496371,12,759,2,Own,1526,P3
40,Female,67056,Not Graduate,Married,3,25283,48,482,0,Rent,4086,P4
59,Female,158035,Not Graduate,Single,28,17705,48,544,4,Own,3833,P3
24,Male,134998,Not Graduate,Married,17,126235,24,491,0,Rent,4425,P4
52,Female,49994,Not Graduate,Single,19,398018,24,601,3,Own,2066,P4
30,Female,188957,Not Graduate,Single,10,300882,36,423,5,None,2656,P4
25,Male,27894,Not Graduate,Married,25,258740,48,577,5,Rent,4298,P4
44,Female,137671,Graduate,Married,20,210521,24,762,3,Rent,3565,P2
64,Male,99126,Graduate,Married,7,242428,36,385,4,None,4746,P4
54,Female,137686,Not Graduate,Single,20,320590,12,736,3,Own,4905,P3
55,Female,159325,Not Graduate,Married,0,36568,60,770,4,Rent,377,P2
53,Female,143696,Graduate,Single,7,295270,60,319,5,Rent,1175,P4
56,Female,137141,Not Graduate,Married,6,114313,48,672,2,Own,3554,P2
44,Male,171360,Not Graduate,Married,24,395055,60,567,2,Own,491,P3
26,Female,146339,Graduate,Married,22,101725,48,651,1,Rent,426,P2
58,Female,166474,Graduate,Married,2,40097,60,462,5,Rent,687,P4
41,Female,92511,Graduate,Married,28,220194,36,421,5,Rent,358,P4
43,Female,56508,Graduate,Married,25,223105,24,458,4,Own,3328,P4
37,Male,62290,Graduate,Single,13,261685,60,384,3,Own,1379,P4
29,Female,130179,Graduate,Married,6,430727,12,523,1,None,4714,P4
62,Male,115720,Graduate,Single,13,351425,36,781,5,Own,508,P2
56,Female,33887,Graduate,Married,18,184567,48,729,0,None,2282,P4
49,Male,56786,Not Graduate,Single,19,364675,48,398,3,Rent,3315,P4
39,Male,194160,Not Graduate,Married,10,254375,48,607,1,Rent,1801,P3
58,Male,150721,Graduate,Single,3,115761,36,340,2,Own,3581,P4
45,Female,155896,Graduate,Married,18,15681,60,332,0,None,4202,P3
40,Male,55454,Graduate,Married,21,6978,24,644,0,None,3196,P3
41,Male,31560,Graduate,Married,8,115966,12,466,2,Rent,3034,P4
31,Female,72427,Graduate,Married,19,410446,48,688,2,Rent,2877,P3
25,Male,174238,Graduate,Married,17,234509,24,385,5,Rent,4968,P4
45,Male,111178,Graduate,Married,15,228619,36,365,3,Own,3906,P4
60,Male,161233,Not Graduate,Single,0,202489,36,693,0,None,300,P2
23,Male,107608,Graduate,Married,9,131705,24,413,5,Own,3863,P4
59,Female,108233,Not Graduate,Married,11,358754,60,332,3,Rent,824,P4
58,Female,128153,Graduate,Single,25,11318,24,734,4,Own,4352,P2
33,Female,192608,Graduate,Single,25,307881,48,688,5,Rent,1622,P2
49,Male,98740,Not Graduate,Married,27,468774,12,812,3,Rent,3466,P3
28,Male,127237,Graduate,Married,14,440740,60,630,1,Rent,3694,P3
55,Male,185506,Not Graduate,Married,10,187808,60,562,2,Own,1779,P3
52,Male,87015,Not Graduate,Married,15,428112,12,669,4,Own,4818,P4
36,Female,171188,Not Graduate,Married,24,122625,48,736,0,Own,2623,P1
24,Female,116310,Graduate,Single,19,124404,36,646,5,None,2113,P3
64,Male,178241,Graduate,Single,18,175023,12,475,2,Own,2453,P3
41,Female,104206,Graduate,Married,13,13731,48,790,3,None,1539,P2
61,Female,133313,Graduate,Married,21,136475,48,687,5,Own,539,P2
51,Male,78191,Graduate,Married,26,427963,60,783,5,None,4909,P4
56,Female,134302,Not Graduate,Married,20,382377,48,607,4,Rent,4059,P4
55,Male,78724,Not Graduate,Married,12,167915,48,547,1,None,4072,P4
29,Male,129656,Graduate,Single,26,159661,48,764,3,Rent,4565,P2
37,Female,161979,Graduate,Married,29,176819,48,637,3,Rent,3060,P2
42,Female,98279,Not Graduate,Single,24,63888,36,727,5,Rent,4923,P3
43,Male,97262,Not Graduate,Married,27,83405,48,790,0,Own,4927,P2
22,Female,77979,Graduate,Married,8,496403,12,456,0,None,1240,P4
45,Female,151484,Graduate,Married,13,348039,48,406,0,Rent,2202,P4
27,Female,126561,Not Graduate,Single,7,340386,24,382,5,Own,478,P4
54,Male,112960,Not Graduate,Married,11,143654,36,630,3,Own,3511,P3
51,Female,24595,Not Graduate,Married,22,428700,48,745,4,Rent,555,P4
62,Female,39818,Graduate,Married,20,92488,12,837,0,None,3816,P3
54,Female,21342,Graduate,Single,0,484499,48,318,0,Rent,4022,P4
37,Female,173045,Graduate,Single,23,254178,24,300,3,Own,2056,P4
64,Female,173296,Graduate,Married,5,168750,48,674,4,Rent,3159,P3
39,Female,32226,Not Graduate,Married,5,376456,48,448,2,Own,4746,P4
35,Female,28356,Graduate,Married,16,211517,12,562,0,Own,3781,P4
61,Female,160658,Not Graduate,Married,7,138451,24,343,2,None,2203,P4
37,Male,114463,Not Graduate,Single,29,343395,60,341,3,Own,4526,P4
24,Male,75607,Not Graduate,Married,4,362410,24,590,1,Own,200,P4
42,Female,130698,Not Graduate,Single,4,303616,36,679,1,Own,1131,P3
56,Female,62564,Not Graduate,Single,23,233678,12,788,4,Own,1638,P3
29,Female,55671,Graduate,Single,8,167757,48,566,1,Own,1820,P3
41,Male,86146,Graduate,Married,22,204867,12,655,0,Own,3361,P2
26,Female,181232,Graduate,Single,21,437816,24,773,3,Rent,3962,P3
51,Male,158088,Not Graduate,Married,5,182963,36,537,0,None,266,P3
42,Male,54217,Not Graduate,Married,17,483760,48,414,2,Own,1297,P4
35,Male,121110,Graduate,Single,16,77062,36,754,3,None,4090,P2
31,Male,179213,Graduate,Married,2,85547,60,301,0,Rent,2530,P4
46,Female,191292,Graduate,Married,23,169654,36,452,3,Own,1550,P3
51,Female,157339,Graduate,Married,26,6473,24,371,4,Own,2217,P3
63,Male,43195,Not Graduate,Married,29,440230,12,654,5,Own,3030,P4
40,Female,63333,Graduate,Single,2,173495,48,448,1,Rent,2977,P4
28,Male,59349,Not Graduate,Single,5,55572,36,489,1,Rent,4146,P4
58,Male,47134,Not Graduate,Single,25,311182,48,659,3,Own,4942,P4
49,Female,51558,Graduate,Married,9,479359,24,463,3,Own,4040,P4
52,Male,76922,Graduate,Married,19,496903,24,499,3,Own,518,P4
25,Female,119992,Not Graduate,Married,10,58210,36,575,1,Rent,2108,P3
35,Male,91631,Not Graduate,Married,6,397483,24,365,0,Own,2423,P4
55,Male,95747,Graduate,Single,19,184206,60,815,0,Rent,3147,P2
58,Female,64241,Graduate,Single,6,418934,48,840,5,Rent,4795,P4
40,Female,47186,Not Graduate,Single,4,305122,60,692,2,Rent,2235,P4
57,Male,199801,Not Graduate,Single,16,367209,24,359,2,Own,1739,P4
58,Male,127819,Not Graduate,Married,5,419732,12,560,3,Rent,4500,P4
38,Female,61337,Not Graduate,Single,5,448206,12,495,1,Rent,3703,P4
61,Male,165798,Not Graduate,Single,24,76073,60,391,2,None,2294,P4
33,Male,169515,Graduate,Single,16,363296,60,783,2,Rent,4647,P2
31,Female,194021,Not Graduate,Married,16,74845,48,528,0,Rent,1513,P3
51,Male,48641,Graduate,Single,4,472242,36,659,3,Own,1203,P4
49,Female,135195,Not Graduate,Married,4,316047,24,680,1,Rent,107,P3
27,Male,196445,Not Graduate,Single,12,100364,48,476,0,Rent,406,P3
58,Female,165201,Not Graduate,Single,12,149909,36,492,3,Rent,4323,P4
29,Female,60594,Graduate,Single,14,448366,48,834,1,Rent,378,P3
57,Male,180746,Not Graduate,Married,4,324029,12,754,4,None,3824,P3
21,Male,95904,Not Graduate,Married,27,118487,36,576,3,None,365,P3
56,Male,108005,Not Graduate,Single,11,411189,48,593,0,Own,1151,P3
56,Female,120542,Not Graduate,Single,25,360566,48,304,4,Own,1752,P4
56,Female,158851,Graduate,Single,12,43050,12,412,0,None,1074,P3
50,Female,41651,Graduate,Married,14,145221,12,303,1,Rent,631,P4
42,Male,117066,Not Graduate,Single,3,423025,60,744,4,None,4944,P4
52,Male,167028,Not Graduate,Single,20,178662,24,818,2,Rent,2025,P2
33,Female,118731,Not Graduate,Married,1,23604,36,389,2,None,2115,P4
56,Female,69443,Not Graduate,Married,23,303925,48,454,1,Own,3771,P4
46,Female,30131,Graduate,Single,27,449919,36,494,2,Rent,4570,P4
41,Male,118869,Graduate,Married,11,280435,60,747,1,Rent,1491,P3
43,Male,146603,Not Graduate,Single,27,487931,60,524,5,Own,2266,P4
46,Male,118934,Graduate,Married,21,61489,24,324,4,Own,2397,P4
22,Male,196284,Not Graduate,Married,0,335390,12,622,5,Own,1303,P3
27,Male,128475,Not Graduate,Married,6,326619,60,380,2,Own,636,P4
32,Female,111481,Not Graduate,Single,19,492207,48,655,5,None,4606,P4
26,Male,29987,Graduate,Single,21,262969,48,772,1,None,3492,P4
40,Female,120548,Not Graduate,Single,2,411886,36,337,1,None,3396,P4
51,Female,50351,Graduate,Single,21,76978,36,847,1,None,1588,P2
50,Female,150453,Graduate,Married,25,26960,12,665,3,None,3302,P2
42,Female,49014,Graduate,Single,2,359656,36,328,3,None,676,P4
59,Male,183206,Graduate,Married,27,6886,36,421,0,Own,590,P2
46,Female,74369,Not Graduate,Married,16,438043,12,392,3,Own,4774,P4
24,Male,98117,Not Graduate,Married,19,15295,48,786,5,None,1143,P2
55,Female,46084,Graduate,Married,1,345819,48,698,2,Rent,3848,P4
46,Female,57926,Not Graduate,Single,19,228694,60,505,4,Rent,1391,P4
49,Female,185946,Graduate,Married,14,324500,12,591,3,Rent,3262,P3
46,Male,71063,Not Graduate,Single,11,313575,24,491,5,Own,3060,P4
45,Male,112332,Not Graduate,Single,24,224920,36,523,3,Own,3615,P3
25,Male,196652,Not Graduate,Married,7,243329,60,651,2,Rent,4769,P3
46,Male,132244,Graduate,Married,1,254168,24,407,0,Rent,2127,P4
56,Female,27495,Graduate,Single,15,340180,60,718,4,Own,4330,P4
34,Male,84348,Graduate,Married,23,356583,60,820,2,Rent,1491,P3
48,Male,89634,Not Graduate,Single,4,227553,12,836,5,Rent,4819,P3
